Order ID,Customer Name,Ship Mode,Order Date,Ship Date,Measure Names,Measure Values
BN-2014-9660071,Ali Jerger,Economy,3/17/2014,3/22/2014,Profit,414
BN-2014-9660071,Ali Jerger,Economy,3/17/2014,3/22/2014,% of Total Discount along Table (Down),0
BN-2014-9660071,Ali Jerger,Economy,3/17/2014,3/22/2014,Quantity,10
BN-2014-9660071,Ali Jerger,Economy,3/17/2014,3/22/2014,Sales,1341
BN-2014-9643770,Ruth Williams,Economy,11/28/2014,12/2/2014,% of Total ProfitMargin along Table (Down),-1.660839237
BN-2014-9643770,Ruth Williams,Economy,11/28/2014,12/2/2014,Profit,-5
BN-2014-9643770,Ruth Williams,Economy,11/28/2014,12/2/2014,% of Total Discount along Table (Down),0.000465306
BN-2014-9643770,Ruth Williams,Economy,11/28/2014,12/2/2014,Quantity,4
BN-2014-9643770,Ruth Williams,Economy,11/28/2014,12/2/2014,Sales,25
BN-2014-9635866,Mark Washington,Economy,4/13/2014,4/17/2014,% of Total ProfitMargin along Table (Down),-0.293270869
BN-2014-9635866,Mark Washington,Economy,4/13/2014,4/17/2014,Profit,-38
BN-2014-9635866,Mark Washington,Economy,4/13/2014,4/17/2014,% of Total Discount along Table (Down),0.000174490
BN-2014-9635866,Mark Washington,Economy,4/13/2014,4/17/2014,Quantity,4
BN-2014-9635866,Mark Washington,Economy,4/13/2014,4/17/2014,Sales,1076
BN-2014-9612123,Kai Leonard,Economy,1/28/2014,2/1/2014,% of Total ProfitMargin along Table (Down),-4.190902746
BN-2014-9612123,Kai Leonard,Economy,1/28/2014,2/1/2014,Profit,-54
BN-2014-9612123,Kai Leonard,Economy,1/28/2014,2/1/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-9612123,Kai Leonard,Economy,1/28/2014,2/1/2014,Quantity,4
BN-2014-9612123,Kai Leonard,Economy,1/28/2014,2/1/2014,Sales,107
BN-2014-9608893,Indiana Wekey,Economy,7/17/2014,7/22/2014,% of Total ProfitMargin along Table (Down),-6.716629265
BN-2014-9608893,Indiana Wekey,Economy,7/17/2014,7/22/2014,Profit,-55
BN-2014-9608893,Indiana Wekey,Economy,7/17/2014,7/22/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-9608893,Indiana Wekey,Economy,7/17/2014,7/22/2014,Quantity,5
BN-2014-9608893,Indiana Wekey,Economy,7/17/2014,7/22/2014,Sales,68
BN-2014-9564073,Toni Lanz,Economy,6/26/2014,7/1/2014,% of Total ProfitMargin along Table (Down),-6.315867519
BN-2014-9564073,Toni Lanz,Economy,6/26/2014,7/1/2014,Profit,-594
BN-2014-9564073,Toni Lanz,Economy,6/26/2014,7/1/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-9564073,Toni Lanz,Economy,6/26/2014,7/1/2014,Quantity,6
BN-2014-9564073,Toni Lanz,Economy,6/26/2014,7/1/2014,Sales,781
BN-2014-9526659,Keith Martinez,Economy,11/20/2014,11/24/2014,% of Total ProfitMargin along Table (Down),0
BN-2014-9526659,Keith Martinez,Economy,11/20/2014,11/24/2014,Profit,0
BN-2014-9526659,Keith Martinez,Economy,11/20/2014,11/24/2014,% of Total Discount along Table (Down),0.000116326
BN-2014-9526659,Keith Martinez,Economy,11/20/2014,11/24/2014,Quantity,3
BN-2014-9526659,Keith Martinez,Economy,11/20/2014,11/24/2014,Sales,43
BN-2014-9493182,Janet Broussard,Economy Plus,6/24/2014,6/27/2014,% of Total ProfitMargin along Table (Down),-1.384032697
BN-2014-9493182,Janet Broussard,Economy Plus,6/24/2014,6/27/2014,Profit,-5
BN-2014-9493182,Janet Broussard,Economy Plus,6/24/2014,6/27/2014,% of Total Discount along Table (Down),0.000465306
BN-2014-9493182,Janet Broussard,Economy Plus,6/24/2014,6/27/2014,Quantity,2
BN-2014-9493182,Janet Broussard,Economy Plus,6/24/2014,6/27/2014,Sales,30
BN-2014-9478365,Katie Evenden,Economy Plus,4/14/2014,4/16/2014,% of Total ProfitMargin along Table (Down),-3.062172342
BN-2014-9478365,Katie Evenden,Economy Plus,4/14/2014,4/16/2014,Profit,-59
BN-2014-9478365,Katie Evenden,Economy Plus,4/14/2014,4/16/2014,% of Total Discount along Table (Down),0.000465306
BN-2014-9478365,Katie Evenden,Economy Plus,4/14/2014,4/16/2014,Quantity,2
BN-2014-9478365,Katie Evenden,Economy Plus,4/14/2014,4/16/2014,Sales,160
BN-2014-9473306,Tyson Ebden,Economy,1/22/2014,1/28/2014,% of Total ProfitMargin along Table (Down),-1.763439344
BN-2014-9473306,Tyson Ebden,Economy,1/22/2014,1/28/2014,Profit,-55
BN-2014-9473306,Tyson Ebden,Economy,1/22/2014,1/28/2014,% of Total Discount along Table (Down),0.000232653
BN-2014-9473306,Tyson Ebden,Economy,1/22/2014,1/28/2014,Quantity,2
BN-2014-9473306,Tyson Ebden,Economy,1/22/2014,1/28/2014,Sales,259
BN-2014-9322996,Louis Dominguez,Economy,4/12/2014,4/18/2014,% of Total ProfitMargin along Table (Down),0
BN-2014-9322996,Louis Dominguez,Economy,4/12/2014,4/18/2014,Profit,0
BN-2014-9322996,Louis Dominguez,Economy,4/12/2014,4/18/2014,% of Total Discount along Table (Down),0.000116326
BN-2014-9322996,Louis Dominguez,Economy,4/12/2014,4/18/2014,Quantity,9
BN-2014-9322996,Louis Dominguez,Economy,4/12/2014,4/18/2014,Sales,1603
BN-2014-9300857,Jonathan Barbee,Economy,12/14/2014,12/19/2014,% of Total ProfitMargin along Table (Down),0.589149053
BN-2014-9300857,Jonathan Barbee,Economy,12/14/2014,12/19/2014,Profit,42
BN-2014-9300857,Jonathan Barbee,Economy,12/14/2014,12/19/2014,% of Total Discount along Table (Down),0.000465306
BN-2014-9300857,Jonathan Barbee,Economy,12/14/2014,12/19/2014,Quantity,6
BN-2014-9300857,Jonathan Barbee,Economy,12/14/2014,12/19/2014,Sales,592
BN-2014-9297622,Jett Osman,Economy,8/9/2014,8/15/2014,% of Total ProfitMargin along Table (Down),2.415766162
BN-2014-9297622,Jett Osman,Economy,8/9/2014,8/15/2014,Profit,32
BN-2014-9297622,Jett Osman,Economy,8/9/2014,8/15/2014,% of Total Discount along Table (Down),0
BN-2014-9297622,Jett Osman,Economy,8/9/2014,8/15/2014,Quantity,10
BN-2014-9297622,Jett Osman,Economy,8/9/2014,8/15/2014,Sales,110
BN-2014-9289926,Alexandra Macdonald,Economy,8/13/2014,8/17/2014,% of Total ProfitMargin along Table (Down),-5.996465515
BN-2014-9289926,Alexandra Macdonald,Economy,8/13/2014,8/17/2014,Profit,-330
BN-2014-9289926,Alexandra Macdonald,Economy,8/13/2014,8/17/2014,% of Total Discount along Table (Down),0.002501018
BN-2014-9289926,Alexandra Macdonald,Economy,8/13/2014,8/17/2014,Quantity,16
BN-2014-9289926,Alexandra Macdonald,Economy,8/13/2014,8/17/2014,Sales,457
BN-2014-9271210,Molly Crawford,Economy,4/17/2014,4/21/2014,% of Total ProfitMargin along Table (Down),1.458321500
BN-2014-9271210,Molly Crawford,Economy,4/17/2014,4/21/2014,Profit,301
BN-2014-9271210,Molly Crawford,Economy,4/17/2014,4/21/2014,% of Total Discount along Table (Down),0.000465306
BN-2014-9271210,Molly Crawford,Economy,4/17/2014,4/21/2014,Quantity,23
BN-2014-9271210,Molly Crawford,Economy,4/17/2014,4/21/2014,Sales,1714
BN-2014-9257992,Katherine Grant,Economy,1/25/2014,1/30/2014,% of Total ProfitMargin along Table (Down),0
BN-2014-9257992,Katherine Grant,Economy,1/25/2014,1/30/2014,Profit,0
BN-2014-9257992,Katherine Grant,Economy,1/25/2014,1/30/2014,% of Total Discount along Table (Down),0.000116326
BN-2014-9257992,Katherine Grant,Economy,1/25/2014,1/30/2014,Quantity,3
BN-2014-9257992,Katherine Grant,Economy,1/25/2014,1/30/2014,Sales,534
BN-2014-9255621,David To,Economy Plus,9/9/2014,9/14/2014,% of Total ProfitMargin along Table (Down),-0.392142598
BN-2014-9255621,David To,Economy Plus,9/9/2014,9/14/2014,Profit,-17
BN-2014-9255621,David To,Economy Plus,9/9/2014,9/14/2014,% of Total Discount along Table (Down),0.000465306
BN-2014-9255621,David To,Economy Plus,9/9/2014,9/14/2014,Quantity,11
BN-2014-9255621,David To,Economy Plus,9/9/2014,9/14/2014,Sales,360
BN-2014-9235525,Maya Pamphlett,Economy,8/18/2014,8/24/2014,% of Total ProfitMargin along Table (Down),-2.333410498
BN-2014-9235525,Maya Pamphlett,Economy,8/18/2014,8/24/2014,Profit,-272
BN-2014-9235525,Maya Pamphlett,Economy,8/18/2014,8/24/2014,% of Total Discount along Table (Down),0.000930611
BN-2014-9235525,Maya Pamphlett,Economy,8/18/2014,8/24/2014,Quantity,16
BN-2014-9235525,Maya Pamphlett,Economy,8/18/2014,8/24/2014,Sales,968
BN-2014-9212655,Mohammed Arnold,Economy,8/8/2014,8/13/2014,% of Total ProfitMargin along Table (Down),-2.077931230
BN-2014-9212655,Mohammed Arnold,Economy,8/8/2014,8/13/2014,Profit,-276
BN-2014-9212655,Mohammed Arnold,Economy,8/8/2014,8/13/2014,% of Total Discount along Table (Down),0.000232653
BN-2014-9212655,Mohammed Arnold,Economy,8/8/2014,8/13/2014,Quantity,3
BN-2014-9212655,Mohammed Arnold,Economy,8/8/2014,8/13/2014,Sales,1103
BN-2014-91476,Amy Pritchard,Priority,8/15/2014,8/18/2014,% of Total ProfitMargin along Table (Down),-5.888430020
BN-2014-91476,Amy Pritchard,Priority,8/15/2014,8/18/2014,Profit,-39
BN-2014-91476,Amy Pritchard,Priority,8/15/2014,8/18/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-91476,Amy Pritchard,Priority,8/15/2014,8/18/2014,Quantity,4
BN-2014-91476,Amy Pritchard,Priority,8/15/2014,8/18/2014,Sales,55
BN-2014-9079543,Freddie Kaur,Economy,11/19/2014,11/26/2014,% of Total ProfitMargin along Table (Down),0.481402677
BN-2014-9079543,Freddie Kaur,Economy,11/19/2014,11/26/2014,Profit,4
BN-2014-9079543,Freddie Kaur,Economy,11/19/2014,11/26/2014,% of Total Discount along Table (Down),0.000465306
BN-2014-9079543,Freddie Kaur,Economy,11/19/2014,11/26/2014,Quantity,8
BN-2014-9079543,Freddie Kaur,Economy,11/19/2014,11/26/2014,Sales,69
BN-2014-8981319,Timothy Pownall,Immediate,6/18/2014,6/18/2014,% of Total ProfitMargin along Table (Down),2.042409362
BN-2014-8981319,Timothy Pownall,Immediate,6/18/2014,6/18/2014,Profit,425
BN-2014-8981319,Timothy Pownall,Immediate,6/18/2014,6/18/2014,% of Total Discount along Table (Down),0.000348979
BN-2014-8981319,Timothy Pownall,Immediate,6/18/2014,6/18/2014,Quantity,10
BN-2014-8981319,Timothy Pownall,Immediate,6/18/2014,6/18/2014,Sales,1728
BN-2014-8933251,Lloyd Barnes,Economy,8/16/2014,8/21/2014,% of Total ProfitMargin along Table (Down),-2.840909220
BN-2014-8933251,Lloyd Barnes,Economy,8/16/2014,8/21/2014,Profit,-39
BN-2014-8933251,Lloyd Barnes,Economy,8/16/2014,8/21/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-8933251,Lloyd Barnes,Economy,8/16/2014,8/21/2014,Quantity,5
BN-2014-8933251,Lloyd Barnes,Economy,8/16/2014,8/21/2014,Sales,114
BN-2014-8911899,Shannon Howe,Economy,10/1/2014,10/6/2014,% of Total ProfitMargin along Table (Down),-7.491197955
BN-2014-8911899,Shannon Howe,Economy,10/1/2014,10/6/2014,Profit,-129
BN-2014-8911899,Shannon Howe,Economy,10/1/2014,10/6/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-8911899,Shannon Howe,Economy,10/1/2014,10/6/2014,Quantity,2
BN-2014-8911899,Shannon Howe,Economy,10/1/2014,10/6/2014,Sales,143
BN-2014-8871614,Ben Hogben,Priority,5/13/2014,5/16/2014,% of Total ProfitMargin along Table (Down),-3.254347153
BN-2014-8871614,Ben Hogben,Priority,5/13/2014,5/16/2014,Profit,-29
BN-2014-8871614,Ben Hogben,Priority,5/13/2014,5/16/2014,% of Total Discount along Table (Down),0.001163264
BN-2014-8871614,Ben Hogben,Priority,5/13/2014,5/16/2014,Quantity,7
BN-2014-8871614,Ben Hogben,Priority,5/13/2014,5/16/2014,Sales,74
BN-2014-8847537,Leroy Samson,Priority,12/6/2014,12/9/2014,% of Total ProfitMargin along Table (Down),-5.140692875
BN-2014-8847537,Leroy Samson,Priority,12/6/2014,12/9/2014,Profit,-26
BN-2014-8847537,Leroy Samson,Priority,12/6/2014,12/9/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-8847537,Leroy Samson,Priority,12/6/2014,12/9/2014,Quantity,2
BN-2014-8847537,Leroy Samson,Priority,12/6/2014,12/9/2014,Sales,42
BN-2014-8840192,Anna Moreton,Economy Plus,6/20/2014,6/24/2014,% of Total ProfitMargin along Table (Down),-5.140692875
BN-2014-8840192,Anna Moreton,Economy Plus,6/20/2014,6/24/2014,Profit,-221
BN-2014-8840192,Anna Moreton,Economy Plus,6/20/2014,6/24/2014,% of Total Discount along Table (Down),0.001861223
BN-2014-8840192,Anna Moreton,Economy Plus,6/20/2014,6/24/2014,Quantity,8
BN-2014-8840192,Anna Moreton,Economy Plus,6/20/2014,6/24/2014,Sales,357
BN-2014-8834829,Piper Wilder-Neligan,Economy Plus,11/18/2014,11/20/2014,% of Total ProfitMargin along Table (Down),-0.093436807
BN-2014-8834829,Piper Wilder-Neligan,Economy Plus,11/18/2014,11/20/2014,Profit,-8
BN-2014-8834829,Piper Wilder-Neligan,Economy Plus,11/18/2014,11/20/2014,% of Total Discount along Table (Down),0.000116326
BN-2014-8834829,Piper Wilder-Neligan,Economy Plus,11/18/2014,11/20/2014,Quantity,4
BN-2014-8834829,Piper Wilder-Neligan,Economy Plus,11/18/2014,11/20/2014,Sales,711
BN-2014-8744375,Maya O'Sullivan,Economy,8/20/2014,8/25/2014,% of Total ProfitMargin along Table (Down),-1.322644150
BN-2014-8744375,Maya O'Sullivan,Economy,8/20/2014,8/25/2014,Profit,-79
BN-2014-8744375,Maya O'Sullivan,Economy,8/20/2014,8/25/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-8744375,Maya O'Sullivan,Economy,8/20/2014,8/25/2014,Quantity,2
BN-2014-8744375,Maya O'Sullivan,Economy,8/20/2014,8/25/2014,Sales,496
BN-2014-8729433,Jade Farmer,Economy,11/28/2014,12/3/2014,% of Total ProfitMargin along Table (Down),0.481099527
BN-2014-8729433,Jade Farmer,Economy,11/28/2014,12/3/2014,Profit,92
BN-2014-8729433,Jade Farmer,Economy,11/28/2014,12/3/2014,% of Total Discount along Table (Down),0.000465306
BN-2014-8729433,Jade Farmer,Economy,11/28/2014,12/3/2014,Quantity,19
BN-2014-8729433,Jade Farmer,Economy,11/28/2014,12/3/2014,Sales,1588
BN-2014-8703611,Crystal Turner,Economy,8/22/2014,8/26/2014,% of Total ProfitMargin along Table (Down),0.179550188
BN-2014-8703611,Crystal Turner,Economy,8/22/2014,8/26/2014,Profit,40
BN-2014-8703611,Crystal Turner,Economy,8/22/2014,8/26/2014,% of Total Discount along Table (Down),0.000174490
BN-2014-8703611,Crystal Turner,Economy,8/22/2014,8/26/2014,Quantity,14
BN-2014-8703611,Crystal Turner,Economy,8/22/2014,8/26/2014,Sales,1850
BN-2014-8685864,Georgina Storey,Economy,8/19/2014,8/25/2014,% of Total ProfitMargin along Table (Down),-0.779952128
BN-2014-8685864,Georgina Storey,Economy,8/19/2014,8/25/2014,Profit,-153
BN-2014-8685864,Georgina Storey,Economy,8/19/2014,8/25/2014,% of Total Discount along Table (Down),0.000174490
BN-2014-8685864,Georgina Storey,Economy,8/19/2014,8/25/2014,Quantity,3
BN-2014-8685864,Georgina Storey,Economy,8/19/2014,8/25/2014,Sales,1629
BN-2014-8656062,Declan Dundas,Economy,12/15/2014,12/21/2014,% of Total ProfitMargin along Table (Down),-6.320709833
BN-2014-8656062,Declan Dundas,Economy,12/15/2014,12/21/2014,Profit,-239
BN-2014-8656062,Declan Dundas,Economy,12/15/2014,12/21/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-8656062,Declan Dundas,Economy,12/15/2014,12/21/2014,Quantity,13
BN-2014-8656062,Declan Dundas,Economy,12/15/2014,12/21/2014,Sales,314
BN-2014-863446,Hazel Turner,Immediate,9/23/2014,9/23/2014,% of Total ProfitMargin along Table (Down),-3.199157546
BN-2014-863446,Hazel Turner,Immediate,9/23/2014,9/23/2014,Profit,-47
BN-2014-863446,Hazel Turner,Immediate,9/23/2014,9/23/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-863446,Hazel Turner,Immediate,9/23/2014,9/23/2014,Quantity,4
BN-2014-863446,Hazel Turner,Immediate,9/23/2014,9/23/2014,Sales,122
BN-2014-8625232,Steven Cordoba,Economy Plus,7/3/2014,7/6/2014,% of Total ProfitMargin along Table (Down),0.364219131
BN-2014-8625232,Steven Cordoba,Economy Plus,7/3/2014,7/6/2014,Profit,20
BN-2014-8625232,Steven Cordoba,Economy Plus,7/3/2014,7/6/2014,% of Total Discount along Table (Down),0.000348979
BN-2014-8625232,Steven Cordoba,Economy Plus,7/3/2014,7/6/2014,Quantity,12
BN-2014-8625232,Steven Cordoba,Economy Plus,7/3/2014,7/6/2014,Sales,456
BN-2014-8509634,Tia Metcalfe,Economy,4/7/2014,4/12/2014,% of Total ProfitMargin along Table (Down),-0.281763490
BN-2014-8509634,Tia Metcalfe,Economy,4/7/2014,4/12/2014,Profit,-36
BN-2014-8509634,Tia Metcalfe,Economy,4/7/2014,4/12/2014,% of Total Discount along Table (Down),0.000116326
BN-2014-8509634,Tia Metcalfe,Economy,4/7/2014,4/12/2014,Quantity,8
BN-2014-8509634,Tia Metcalfe,Economy,4/7/2014,4/12/2014,Sales,1061
BN-2014-8493925,Ava Giles,Economy,4/17/2014,4/23/2014,% of Total ProfitMargin along Table (Down),-4.259172254
BN-2014-8493925,Ava Giles,Economy,4/17/2014,4/23/2014,Profit,-179
BN-2014-8493925,Ava Giles,Economy,4/17/2014,4/23/2014,% of Total Discount along Table (Down),0.001279591
BN-2014-8493925,Ava Giles,Economy,4/17/2014,4/23/2014,Quantity,12
BN-2014-8493925,Ava Giles,Economy,4/17/2014,4/23/2014,Sales,349
BN-2014-848843,Ella Dwyer-Gray,Economy,9/26/2014,10/1/2014,% of Total ProfitMargin along Table (Down),0
BN-2014-848843,Ella Dwyer-Gray,Economy,9/26/2014,10/1/2014,Profit,0
BN-2014-848843,Ella Dwyer-Gray,Economy,9/26/2014,10/1/2014,% of Total Discount along Table (Down),0.000116326
BN-2014-848843,Ella Dwyer-Gray,Economy,9/26/2014,10/1/2014,Quantity,4
BN-2014-848843,Ella Dwyer-Gray,Economy,9/26/2014,10/1/2014,Sales,86
BN-2014-8459769,Kerry Dorsey,Immediate,5/3/2014,5/3/2014,% of Total ProfitMargin along Table (Down),-2.622377742
BN-2014-8459769,Kerry Dorsey,Immediate,5/3/2014,5/3/2014,Profit,-42
BN-2014-8459769,Kerry Dorsey,Immediate,5/3/2014,5/3/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-8459769,Kerry Dorsey,Immediate,5/3/2014,5/3/2014,Quantity,1
BN-2014-8459769,Kerry Dorsey,Immediate,5/3/2014,5/3/2014,Sales,133
BN-2014-8433549,Luther King,Economy,7/15/2014,7/19/2014,% of Total ProfitMargin along Table (Down),-2.994956000
BN-2014-8433549,Luther King,Economy,7/15/2014,7/19/2014,Profit,-66
BN-2014-8433549,Luther King,Economy,7/15/2014,7/19/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-8433549,Luther King,Economy,7/15/2014,7/19/2014,Quantity,5
BN-2014-8433549,Luther King,Economy,7/15/2014,7/19/2014,Sales,183
BN-2014-8403814,Ava Giles,Economy,9/2/2014,9/7/2014,% of Total ProfitMargin along Table (Down),-1.896637400
BN-2014-8403814,Ava Giles,Economy,9/2/2014,9/7/2014,Profit,-37
BN-2014-8403814,Ava Giles,Economy,9/2/2014,9/7/2014,% of Total Discount along Table (Down),0.001395917
BN-2014-8403814,Ava Giles,Economy,9/2/2014,9/7/2014,Quantity,7
BN-2014-8403814,Ava Giles,Economy,9/2/2014,9/7/2014,Sales,162
BN-2014-839820,Hayden Perkins,Priority,9/10/2014,9/13/2014,% of Total ProfitMargin along Table (Down),-2.085705088
BN-2014-839820,Hayden Perkins,Priority,9/10/2014,9/13/2014,Profit,-54
BN-2014-839820,Hayden Perkins,Priority,9/10/2014,9/13/2014,% of Total Discount along Table (Down),0.000930611
BN-2014-839820,Hayden Perkins,Priority,9/10/2014,9/13/2014,Quantity,9
BN-2014-839820,Hayden Perkins,Priority,9/10/2014,9/13/2014,Sales,215
BN-2014-8354693,Jason Calhoun,Economy,11/19/2014,11/25/2014,% of Total ProfitMargin along Table (Down),-3.144603701
BN-2014-8354693,Jason Calhoun,Economy,11/19/2014,11/25/2014,Profit,-103
BN-2014-8354693,Jason Calhoun,Economy,11/19/2014,11/25/2014,% of Total Discount along Table (Down),0.001163264
BN-2014-8354693,Jason Calhoun,Economy,11/19/2014,11/25/2014,Quantity,4
BN-2014-8354693,Jason Calhoun,Economy,11/19/2014,11/25/2014,Sales,272
BN-2014-8340437,Mary Parker,Economy,2/11/2014,2/16/2014,% of Total ProfitMargin along Table (Down),-4.132419901
BN-2014-8340437,Mary Parker,Economy,2/11/2014,2/16/2014,Profit,-105
BN-2014-8340437,Mary Parker,Economy,2/11/2014,2/16/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-8340437,Mary Parker,Economy,2/11/2014,2/16/2014,Quantity,2
BN-2014-8340437,Mary Parker,Economy,2/11/2014,2/16/2014,Sales,211
BN-2014-8330750,Scarlett Pollard,Economy,9/4/2014,9/10/2014,% of Total ProfitMargin along Table (Down),-0.535754592
BN-2014-8330750,Scarlett Pollard,Economy,9/4/2014,9/10/2014,Profit,-2
BN-2014-8330750,Scarlett Pollard,Economy,9/4/2014,9/10/2014,% of Total Discount along Table (Down),0.000116326
BN-2014-8330750,Scarlett Pollard,Economy,9/4/2014,9/10/2014,Quantity,2
BN-2014-8330750,Scarlett Pollard,Economy,9/4/2014,9/10/2014,Sales,31
BN-2014-8322857,Mia McLean,Economy,3/24/2014,3/29/2014,% of Total ProfitMargin along Table (Down),-3.859913411
BN-2014-8322857,Mia McLean,Economy,3/24/2014,3/29/2014,Profit,-251
BN-2014-8322857,Mia McLean,Economy,3/24/2014,3/29/2014,% of Total Discount along Table (Down),0.001163264
BN-2014-8322857,Mia McLean,Economy,3/24/2014,3/29/2014,Quantity,7
BN-2014-8322857,Mia McLean,Economy,3/24/2014,3/29/2014,Sales,540
BN-2014-8266627,Charles Builder,Priority,6/12/2014,6/13/2014,% of Total ProfitMargin along Table (Down),-4.012946696
BN-2014-8266627,Charles Builder,Priority,6/12/2014,6/13/2014,Profit,-447
BN-2014-8266627,Charles Builder,Priority,6/12/2014,6/13/2014,% of Total Discount along Table (Down),0.000465306
BN-2014-8266627,Charles Builder,Priority,6/12/2014,6/13/2014,Quantity,5
